Cancer_Type,Discovery_Dataset,Gene_Symbol,MCC_Rank,MCC_Score,S13_Recurrent_CrossCancer,S14_Validated_Concordant,S15_TumorNormal_Concordant,S15_KM_Significant,S15_Cox_Significant,S15_Stage_Significant,S16_TISCH_Localization_Available,Drug_Name,Interaction_Type,Interaction_Claim_Source,Original_Evidence_Source,FDA_Approved_Status,Direct_Target_or_Indirect_Association,Cancer_Relevance,Therapeutic_Interpretation,Source_File,Source_Relative_Path,Evidence_Origin,Source_Database,Source_PMIDs,Query_Source,Query_Date,Raw_Query_Status,DGIdb_Interaction_ID,Interaction_Score,Evidence_Score,Drug_Approved_Explicit,Drug_AntiNeoplastic_Explicit,Drug_Immunotherapy_Explicit,Raw_JSON,Any_Downstream_Support
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,ANTIBIOTIC,,NCI Cancer Gene Index,10634213,Not_explicitly_reported,Association_or_unspecified_interaction,Cancer_relevance_not_established_by_interaction_source,CXCL10 has a DGIdb drug-gene interaction involving ANTIBIOTIC. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,NCI,10634213,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,081ea922-d7fa-4674-8474-35955525d61d,0.3459607156423708,2.0,False,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": false, ""conceptId"": ""ncit:C258"", ""immunotherapy"": false, ""name"": ""ANTIBIOTIC""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""081ea922-d7fa-4674-8474-35955525d61d"", ""interactionScore"": 0.3459607156423708, ""interactionTypes"": [], ""publications"": [{""citation"": ""Olszyna DP et al., 1999, Sequential measurements of chemokines in urosepsis and experimental endotoxemia., J Clin Immunol"", ""pmid"": 10634213}], ""sources"": [{""fullName"": ""NCI Cancer Gene Index"", ""sourceDbName"": ""NCI""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,ATORVASTATIN CALCIUM TRIHYDRATE,,NCI Cancer Gene Index,10559511,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_not_established_by_interaction_source,CXCL10 has a approved DGIdb drug-gene interaction involving ATORVASTATIN CALCIUM TRIHYDRATE. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,NCI,10559511,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,b63c70a6-0a32-4e46-91de-73ce7ed3f89f,0.2830587673437579,2.0,True,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": true, ""conceptId"": ""rxcui:1297766"", ""immunotherapy"": false, ""name"": ""ATORVASTATIN CALCIUM TRIHYDRATE""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""b63c70a6-0a32-4e46-91de-73ce7ed3f89f"", ""interactionScore"": 0.2830587673437579, ""interactionTypes"": [], ""publications"": [{""citation"": ""Ortego M et al., 1999, Atorvastatin reduces NF-kappaB activation and chemokine expression in vascular smooth muscle cells and mononuclear cells., Atherosclerosis"", ""pmid"": 10559511}], ""sources"": [{""fullName"": ""NCI Cancer Gene Index"", ""sourceDbName"": ""NCI""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,ATROPINE,,NCI Cancer Gene Index,15315164,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_not_established_by_interaction_source,CXCL10 has a approved DGIdb drug-gene interaction involving ATROPINE. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,NCI,15315164,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,489f4dd2-6de0-4722-bee0-baaf9f4420c5,0.5189410734635561,2.0,True,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": true, ""conceptId"": ""rxcui:1223"", ""immunotherapy"": false, ""name"": ""ATROPINE""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""489f4dd2-6de0-4722-bee0-baaf9f4420c5"", ""interactionScore"": 0.5189410734635561, ""interactionTypes"": [], ""publications"": [{""citation"": ""Zheng H et al., 2004, Involvement of M3 cholinergic receptor signal transduction pathway in regulation of the expression of chemokine MOB-1, MCP-1 genes in pancreatic acinar cells., J Huazhong Univ Sci Technolog Med Sci"", ""pmid"": 15315164}], ""sources"": [{""fullName"": ""NCI Cancer Gene Index"", ""sourceDbName"": ""NCI""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,CHORIOGONADOTROPIN ALFA,,NCI Cancer Gene Index,15590984,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_not_established_by_interaction_source,CXCL10 has a approved DGIdb drug-gene interaction involving CHORIOGONADOTROPIN ALFA. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,NCI,15590984,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,f8a65453-34b2-4773-ac26-0e87539ac098,0.2965377562648892,2.0,True,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": true, ""conceptId"": ""rxcui:283550"", ""immunotherapy"": false, ""name"": ""CHORIOGONADOTROPIN ALFA""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""f8a65453-34b2-4773-ac26-0e87539ac098"", ""interactionScore"": 0.2965377562648892, ""interactionTypes"": [], ""publications"": [{""citation"": ""Nagpal ML et al., 2004, Effects of overexpression of CXCL10 (cytokine-responsive gene-2) on MA-10 mouse Leydig tumor cell steroidogenesis and proliferation., J Endocrinol"", ""pmid"": 15590984}], ""sources"": [{""fullName"": ""NCI Cancer Gene Index"", ""sourceDbName"": ""NCI""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,ELDELUMAB,inhibitor,"The ChEMBL Bioactivity Database; The Druggable Genome: Evaluation of Drug Targets in Clinical Trials Suggests Major Shifts in Molecular Class and Indication (Rask-Andersen, Masuram, Schioth 2014); Therapeutic Target Database",,Not_explicitly_reported,Direct_Target,Cancer_relevance_not_established_by_interaction_source,CXCL10 has a DGIdb drug-gene interaction involving ELDELUMAB. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,ChEMBL; TTD; TdgClinicalTrial,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,fbe5582d-70cd-4b66-a202-cd3e532f812a,3.113646440781337,1.0,False,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": false, ""conceptId"": ""chembl:CHEMBL2109664"", ""immunotherapy"": false, ""name"": ""ELDELUMAB""}, ""evidenceScore"": 1, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""fbe5582d-70cd-4b66-a202-cd3e532f812a"", ""interactionScore"": 3.113646440781337, ""interactionTypes"": [{""directionality"": ""INHIBITORY"", ""type"": ""inhibitor""}], ""publications"": [], ""sources"": [{""fullName"": ""The ChEMBL Bioactivity Database"", ""sourceDbName"": ""ChEMBL""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,GM-CSF,,NCI Cancer Gene Index,11591765,Not_explicitly_reported,Association_or_unspecified_interaction,Cancer_relevance_not_established_by_interaction_source,CXCL10 has a DGIdb drug-gene interaction involving GM-CSF. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,NCI,11591765,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,d75a9faf-7881-4536-9223-3aad917ccf14,0.4151528587708449,2.0,False,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": false, ""conceptId"": ""iuphar.ligand:4942"", ""immunotherapy"": false, ""name"": ""GM-CSF""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""d75a9faf-7881-4536-9223-3aad917ccf14"", ""interactionScore"": 0.4151528587708449, ""interactionTypes"": [], ""publications"": [{""citation"": ""Jinquan T et al., 2001, CXCR3 expression on CD34(+) hemopoietic progenitors induced by granulocyte-macrophage colony-stimulating factor: II. Signaling pathways involved., J Immunol"", ""pmid"": 11591765}], ""sources"": [{""fullName"": ""NCI Cancer Gene Index"", ""sourceDbName"": ""NCI""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,IROPLACT,,NCI Cancer Gene Index,7790818,Not_explicitly_reported,Association_or_unspecified_interaction,Cancer_relevance_not_established_by_interaction_source,CXCL10 has a DGIdb drug-gene interaction involving IROPLACT. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,NCI,7790818,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,f70c3da7-a432-40ea-a53b-4c0413de58e9,6.227292881562674,2.0,False,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": false, ""conceptId"": ""ncit:C2251"", ""immunotherapy"": false, ""name"": ""IROPLACT""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""f70c3da7-a432-40ea-a53b-4c0413de58e9"", ""interactionScore"": 6.227292881562674, ""interactionTypes"": [], ""publications"": [{""citation"": ""Luster AD et al., 1995, The IP-10 chemokine binds to a specific cell surface heparan sulfate site shared with platelet factor 4 and inhibits endothelial cell proliferation., J Exp Med"", ""pmid"": 7790818}], ""sources"": [{""fullName"": ""NCI Cancer Gene Index"", ""sourceDbName"": ""NCI""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,METHYLPREDNISOLONE,,NCI Cancer Gene Index,17220550,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_explicitly_annotated,CXCL10 has a approved DGIdb drug-gene interaction involving METHYLPREDNISOLONE. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,NCI,17220550,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,4f4fedca-bb87-40a4-847b-981ec49896d8,0.3663113459742749,2.0,True,True,False,"{""drug"": {""antiNeoplastic"": true, ""approved"": true, ""conceptId"": ""rxcui:6902"", ""immunotherapy"": false, ""name"": ""METHYLPREDNISOLONE""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""4f4fedca-bb87-40a4-847b-981ec49896d8"", ""interactionScore"": 0.3663113459742749, ""interactionTypes"": [], ""publications"": [{""citation"": ""Micha\u0142owska-Wender G et al., 2006, Effect of methylprednisolone treatment on expression of sPECAM-1 and CXCL10 chemokine in serum of MS patients., Pharmacol Rep"", ""pmid"": 17220550}], ""sources"": [{""fullName"": ""NCI Cancer Gene Index"", ""sourceDbName"": ""NCI""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,NI-0801,inhibitor,The ChEMBL Bioactivity Database; Therapeutic Target Database,,Not_explicitly_reported,Direct_Target,Cancer_relevance_not_established_by_interaction_source,CXCL10 has a DGIdb drug-gene interaction involving NI-0801. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,ChEMBL; TTD,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,f21de257-d094-4114-9196-b7b4ba456437,6.227292881562674,2.0,False,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": false, ""conceptId"": ""chembl:CHEMBL2109379"", ""immunotherapy"": false, ""name"": ""NI-0801""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""f21de257-d094-4114-9196-b7b4ba456437"", ""interactionScore"": 6.227292881562674, ""interactionTypes"": [{""directionality"": ""INHIBITORY"", ""type"": ""inhibitor""}], ""publications"": [], ""sources"": [{""fullName"": ""Therapeutic Target Database"", ""sourceDbName"": ""TTD""}, {""fullName"": ""The ChEMBL Bioactivity Database"", ""sourceDbName"": ""ChEMBL""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,OXALIPLATIN,,NCI Cancer Gene Index,16101140,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_explicitly_annotated,CXCL10 has a approved DGIdb drug-gene interaction involving OXALIPLATIN. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,NCI,16101140,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,42b1c46b-e8e5-4a06-a93c-322f26281b2b,0.1518851922332359,2.0,True,True,False,"{""drug"": {""antiNeoplastic"": true, ""approved"": true, ""conceptId"": ""rxcui:32592"", ""immunotherapy"": false, ""name"": ""OXALIPLATIN""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""42b1c46b-e8e5-4a06-a93c-322f26281b2b"", ""interactionScore"": 0.1518851922332359, ""interactionTypes"": [], ""publications"": [{""citation"": ""Bellone G et al., 2005, Circulating vascular endothelial growth factor and interferon-gamma-inducible protein-10 levels in pancreatic cancer during chemotherapy., Anticancer Res"", ""pmid"": 16101140}], ""sources"": [{""fullName"": ""NCI Cancer Gene Index"", ""sourceDbName"": ""NCI""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,PEGINTERFERON ALFA-2A,,PharmGKB - The Pharmacogenomics Knowledgebase,26339796,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_explicitly_annotated,CXCL10 has a approved DGIdb drug-gene interaction involving PEGINTERFERON ALFA-2A. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,PharmGKB,26339796,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,bd623bdb-e42a-41ac-8738-463f771532ae,0.2075764293854224,2.0,True,True,True,"{""drug"": {""antiNeoplastic"": true, ""approved"": true, ""conceptId"": ""rxcui:120608"", ""immunotherapy"": true, ""name"": ""PEGINTERFERON ALFA-2A""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""bd623bdb-e42a-41ac-8738-463f771532ae"", ""interactionScore"": 0.2075764293854224, ""interactionTypes"": [], ""publications"": [{""citation"": ""Thanapirom K et al., 2015, Association between CXCL10 and DPP4 Gene Polymorphisms and a Complementary Role for Unfavorable IL28B Genotype in Prediction of Treatment Response in Thai Patients with Chronic Hepatitis C Virus Infection., PLoS One"", ""pmid"": 26339796}], ""sources"": [{""fullName"": ""PharmGKB - The Pharmacogenomics Knowledgebase"", ""sourceDbName"": ""PharmGKB""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,PEGINTERFERON ALFA-2B,,PharmGKB - The Pharmacogenomics Knowledgebase,26339796,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_explicitly_annotated,CXCL10 has a approved DGIdb drug-gene interaction involving PEGINTERFERON ALFA-2B. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,PharmGKB,26339796,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,853df8be-c5aa-4668-84f5-17721d7c3995,0.2008804155342798,2.0,True,True,False,"{""drug"": {""antiNeoplastic"": true, ""approved"": true, ""conceptId"": ""rxcui:253453"", ""immunotherapy"": false, ""name"": ""PEGINTERFERON ALFA-2B""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""853df8be-c5aa-4668-84f5-17721d7c3995"", ""interactionScore"": 0.2008804155342798, ""interactionTypes"": [], ""publications"": [{""citation"": ""Thanapirom K et al., 2015, Association between CXCL10 and DPP4 Gene Polymorphisms and a Complementary Role for Unfavorable IL28B Genotype in Prediction of Treatment Response in Thai Patients with Chronic Hepatitis C Virus Infection., PLoS One"", ""pmid"": 26339796}], ""sources"": [{""fullName"": ""PharmGKB - The Pharmacogenomics Knowledgebase"", ""sourceDbName"": ""PharmGKB""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,RITONAVIR,,NCI Cancer Gene Index,11141242,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_not_established_by_interaction_source,CXCL10 has a approved DGIdb drug-gene interaction involving RITONAVIR. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,NCI,11141242,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,b6e81224-653a-41d5-88e5-a7362ecf28b3,0.2306404770949138,2.0,True,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": true, ""conceptId"": ""rxcui:85762"", ""immunotherapy"": false, ""name"": ""RITONAVIR""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""b6e81224-653a-41d5-88e5-a7362ecf28b3"", ""interactionScore"": 0.2306404770949138, ""interactionTypes"": [], ""publications"": [{""citation"": ""Gisolf EH et al., 2000, Increasing cerebrospinal fluid chemokine concentrations despite undetectable cerebrospinal fluid HIV RNA in HIV-1-infected patients receiving antiretroviral therapy., J Acquir Immune Defic Syndr"", ""pmid"": 11141242}], ""sources"": [{""fullName"": ""NCI Cancer Gene Index"", ""sourceDbName"": ""NCI""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,STAVUDINE,,NCI Cancer Gene Index,11141242,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_not_established_by_interaction_source,CXCL10 has a approved DGIdb drug-gene interaction involving STAVUDINE. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,NCI,11141242,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,eaf4c6d0-eddf-4be2-ae16-f18b5c7ca0ae,0.4790225293509749,2.0,True,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": true, ""conceptId"": ""rxcui:59763"", ""immunotherapy"": false, ""name"": ""STAVUDINE""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""eaf4c6d0-eddf-4be2-ae16-f18b5c7ca0ae"", ""interactionScore"": 0.4790225293509749, ""interactionTypes"": [], ""publications"": [{""citation"": ""Gisolf EH et al., 2000, Increasing cerebrospinal fluid chemokine concentrations despite undetectable cerebrospinal fluid HIV RNA in HIV-1-infected patients receiving antiretroviral therapy., J Acquir Immune Defic Syndr"", ""pmid"": 11141242}], ""sources"": [{""fullName"": ""NCI Cancer Gene Index"", ""sourceDbName"": ""NCI""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,TESTOSTERONE,,NCI Cancer Gene Index,9681518,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_not_established_by_interaction_source,CXCL10 has a approved DGIdb drug-gene interaction involving TESTOSTERONE. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,NCI,9681518,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,8c092b34-969d-4a24-a389-486391ebbcaf,0.1596741764503249,2.0,True,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": true, ""conceptId"": ""rxcui:10379"", ""immunotherapy"": false, ""name"": ""TESTOSTERONE""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""8c092b34-969d-4a24-a389-486391ebbcaf"", ""interactionScore"": 0.1596741764503249, ""interactionTypes"": [], ""publications"": [{""citation"": ""Hu J et al., 1998, Expression and regulation of interferon-gamma-inducible protein 10 gene in rat Leydig cells., Endocrinology"", ""pmid"": 9681518}], ""sources"": [{""fullName"": ""NCI Cancer Gene Index"", ""sourceDbName"": ""NCI""}]}",True
Breast cancer,GSE173839,CXCL10,1,8,False,False,True,False,False,False,False,ZIDOVUDINE,,NCI Cancer Gene Index,11141242,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_not_established_by_interaction_source,CXCL10 has a approved DGIdb drug-gene interaction involving ZIDOVUDINE. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,NCI,11141242,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,a5363404-7940-46b9-8270-d560815a7a7a,0.2306404770949138,2.0,True,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": true, ""conceptId"": ""rxcui:11413"", ""immunotherapy"": false, ""name"": ""ZIDOVUDINE""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:10637"", ""name"": ""CXCL10""}, ""id"": ""a5363404-7940-46b9-8270-d560815a7a7a"", ""interactionScore"": 0.2306404770949138, ""interactionTypes"": [], ""publications"": [{""citation"": ""Gisolf EH et al., 2000, Increasing cerebrospinal fluid chemokine concentrations despite undetectable cerebrospinal fluid HIV RNA in HIV-1-infected patients receiving antiretroviral therapy., J Acquir Immune Defic Syndr"", ""pmid"": 11141242}], ""sources"": [{""fullName"": ""NCI Cancer Gene Index"", ""sourceDbName"": ""NCI""}]}",True
Breast cancer,GSE173839,PGR,3,72,False,False,True,False,False,False,False,ABEMACICLIB,,PharmGKB - The Pharmacogenomics Knowledgebase,,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_explicitly_annotated,PGR has a approved DGIdb drug-gene interaction involving ABEMACICLIB. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,PharmGKB,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,a4dcc58b-2524-472f-81ef-6838dd40d8ba,0.03665650241917086,1.0,True,True,False,"{""drug"": {""antiNeoplastic"": true, ""approved"": true, ""conceptId"": ""rxcui:1946825"", ""immunotherapy"": false, ""name"": ""ABEMACICLIB""}, ""evidenceScore"": 1, ""gene"": {""conceptId"": ""hgnc:8910"", ""name"": ""PGR""}, ""id"": ""a4dcc58b-2524-472f-81ef-6838dd40d8ba"", ""interactionScore"": 0.03665650241917086, ""interactionTypes"": [], ""publications"": [], ""sources"": [{""fullName"": ""PharmGKB - The Pharmacogenomics Knowledgebase"", ""sourceDbName"": ""PharmGKB""}]}",True
Breast cancer,GSE173839,PGR,3,72,False,False,True,False,False,False,False,ALLYLESTRENOL,agonist,The ChEMBL Bioactivity Database,,Not_explicitly_reported,Direct_Target,Cancer_relevance_not_established_by_interaction_source,PGR has a DGIdb drug-gene interaction involving ALLYLESTRENOL. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,ChEMBL,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,0b1f8d87-685b-43ba-b9ad-1c7cbc78f02b,0.2321578486547488,1.0,False,False,False,"{""drug"": {""antiNeoplastic"": false, ""approved"": false, ""conceptId"": ""rxcui:525"", ""immunotherapy"": false, ""name"": ""ALLYLESTRENOL""}, ""evidenceScore"": 1, ""gene"": {""conceptId"": ""hgnc:8910"", ""name"": ""PGR""}, ""id"": ""0b1f8d87-685b-43ba-b9ad-1c7cbc78f02b"", ""interactionScore"": 0.2321578486547488, ""interactionTypes"": [{""directionality"": ""ACTIVATING"", ""type"": ""agonist""}], ""publications"": [], ""sources"": [{""fullName"": ""The ChEMBL Bioactivity Database"", ""sourceDbName"": ""ChEMBL""}]}",True
Breast cancer,GSE173839,PGR,3,72,False,False,True,False,False,False,False,ANASTROZOLE,,Clearity Foundation Biomarkers; FDA Pharmacogenomic Biomarkers,,Approved_explicit_in_source,Association_or_unspecified_interaction,Cancer_relevance_explicitly_annotated,PGR has a approved DGIdb drug-gene interaction involving ANASTROZOLE. Multilayer support: S15 tumor-normal concordant. This does not establish therapeutic efficacy or cancer-specific clinical actionability.,Fresh DGIdb GraphQL query,https://dgidb.org/api/graphql,Fresh_DGIdb_Query,ClearityFoundationBiomarkers; FDA,,https://dgidb.org/api/graphql,2026-07-14T21:46:25,Interaction_Found,97d74ce1-bfea-4f7f-8914-d92b623b9821,0.09286313946189952,2.0,True,True,False,"{""drug"": {""antiNeoplastic"": true, ""approved"": true, ""conceptId"": ""rxcui:84857"", ""immunotherapy"": false, ""name"": ""ANASTROZOLE""}, ""evidenceScore"": 2, ""gene"": {""conceptId"": ""hgnc:8910"", ""name"": ""PGR""}, ""id"": ""97d74ce1-bfea-4f7f-8914-d92b623b9821"", ""interactionScore"": 0.09286313946189952, ""interactionTypes"": [], ""publications"": [], ""sources"": [{""fullName"": ""Clearity Foundation Biomarkers"", ""sourceDbName"": ""ClearityFoundationBiomarkers""}, {""fullName"": ""FDA Pharmacogenomic Biomarkers"", ""sourceDbName"": ""FDA""}]}",True
